CountryName,CapitalLatitude,CapitalLongitude,area,capital,currency_name,languages,population,x-coord,y-coord
Aland Islands,60.11666700000001,19.9,1580.0,Mariehamn,Euro,sv,26711.0,111.05555555555556,75.71710264620178
Nauru,-0.5477,166.920867,21.0,Yaren,Dollar,na,10065.0,192.733815,33.36288918523689
Saint Martin,18.0731,-63.0822,53.0,Marigot,Euro,fr,35925.0,64.95433333333334,43.87855373272733
Tokelau,-9.166667,-171.833333,10.0,,Dollar,tkl,1466.0,4.537037222222216,28.55271347739089
Western Sahara,27.153610999999998,-13.203332999999999,266000.0,El-Aaiun,Dirham,ar,273008.0,92.66481500000002,49.351140398069745
Afghanistan,34.5166666666667,69.18333299999999,647500.0,Kabul,Afghani,fa,29121286.0,138.43518500000002,54.120765220155384
Albania,41.316666666666706,19.816667000000002,28748.0,Tirana,Lek,sq,2986952.0,111.00925944444445,58.91563383994005
Algeria,36.75,3.05,2381740.0,Algiers,Dinar,ar,34586184.0,101.69444444444446,55.64753456767261
American Samoa,-14.266666666666698,-170.7,199.0,Pago Pago,Dollar,en,57881.0,5.166666666666673,25.658050077394037
Andorra,42.5,1.516667,468.0,Andorra la Vella,Euro,ca,84000.0,100.8425927777778,59.79903237716623
Angola,-8.83333333333333,13.216667000000001,1246700.0,Luanda,Kwanza,pt,13068161.0,107.34259277777778,28.74020748446668
Anguilla,18.216666666666697,-63.05,102.0,The Valley,Dollar,en,13254.0,64.97222222222223,43.96248683704534
Antigua and Barbuda,17.1166666666667,-61.85,443.0,St. John's,Dollar,en,86754.0,65.6388888888889,43.32111624404219
Argentina,-34.5833333333333,-58.666667000000004,2766890.0,Buenos Aires,Peso,es,41343201.0,67.40740722222222,13.1686100036937
Armenia,40.1666666666667,44.5,29800.0,Yerevan,Dram,hy,2968000.0,124.72222222222223,58.07235901926251
Aruba,12.516666666666698,-70.033333,193.0,Oranjestad,Guilder,nl,71566.0,61.09259277777778,40.67685363185437
Australia,-35.2666666666667,149.133333,7686850.0,Canberra,Dollar,en,21515754.0,182.85185166666668,12.705586370120258
Austria,48.2,16.366667,83858.0,Vienna,Euro,de,8205000.0,109.09259277777778,64.31066446187155
Azerbaijan,40.3833333333333,49.866667,86600.0,Baku,Manat,az,8303512.0,127.7037038888889,58.23012882141123
Bahamas,25.0833333333333,-77.35,13940.0,Nassau,Dollar,en,301790.0,57.027777777777786,48.07007875252563
Bahrain,26.233333333333302,50.566666999999995,665.0,Manama,Dinar,ar,738004.0,128.09259277777778,48.77887632079957
Bangladesh,23.716666666666697,90.4,144000.0,Dhaka,Taka,bn,156118464.0,150.22222222222223,47.23632637460729
Barbados,13.1,-59.61666700000001,431.0,Bridgetown,Dollar,en,285653.0,66.87962944444445,41.00919895881824
Belarus,53.9,27.566667,207600.0,Minsk,Ruble,be,9685000.0,115.314815,69.35644029521552
Belgium,50.8333333333333,4.3333330000000005,30510.0,Brussels,Euro,nl,10403000.0,102.40740722222223,66.56480033216121
Belize,17.25,-88.766667,22966.0,Belmopan,Dollar,en,314522.0,50.685185000000004,43.398651160207194
Benin,6.48333333333333,2.6166669999999996,112620.0,Porto-Novo,Franc,fr,9056010.0,101.4537038888889,37.27673459955682
Bermuda,32.2833333333333,-64.783333,53.0,Hamilton,Dollar,en,65365.0,64.00925944444445,52.634401444478705
Bhutan,27.466666666666697,89.633333,47000.0,Thimphu,Ngultrum,dz,699847.0,149.7962961111111,49.54687825807709
Bolivia,-16.5,-68.15,1098580.0,Sucre,Boliviano,es,9947418.0,62.138888888888886,24.371111227347967
Bosnia and Herzegovina,43.866666666666696,18.416667,51129.0,Sarajevo,Marka,bs,4590000.0,110.23148166666667,60.840368888428195
Botswana,-24.6333333333333,25.9,600370.0,Gaborone,Pula,en,2029307.0,114.3888888888889,19.539793101441248
Brazil,-15.783333333333301,-47.916667,8511965.0,Brasilia,Real,pt,201103330.0,73.37962944444445,24.78560281176938
British Virgin Islands,18.4166666666667,-64.616667,153.0,Road Town,Dollar,en,21730.0,64.10185166666666,44.07952801337658
Bulgaria,42.683333333333294,23.316667000000002,110910.0,Sofia,Lev,bg,7148785.0,112.9537038888889,59.93738145022024
Burkina Faso,12.3666666666667,-1.516667,274200.0,Ouagadougou,Franc,fr,16241811.0,99.15740722222222,40.59151619613144
Myanmar,16.8,96.15,678500.0,Nay Pyi Taw,Kyat,my,53414374.0,153.41666666666666,43.13719251965196
Burundi,-3.36666666666667,29.35,27830.0,Bujumbura,Franc,fr,9863117.0,116.30555555555556,31.795724001793523
Cambodia,11.55,104.91666699999999,181040.0,Phnom Penh,Riels,km,14453680.0,158.2870372222222,40.12774376822057
Cameroon,3.8666666666666702,11.516667,475440.0,Yaounde,Franc,en,19294149.0,106.39814833333334,35.81695218083996
Canada,45.4166666666667,-75.7,9984670.0,Ottawa,Dollar,en,33679000.0,57.94444444444444,62.05072750913507
Cape Verde,14.916666666666698,-23.516667,4033.0,Praia,Escudo,pt,508659.0,86.93518499999999,42.049442038634126
Cayman Islands,19.3,-81.383333,262.0,George Town,Dollar,en,44270.0,54.78703722222223,44.598111989777095
Central African Republic,4.36666666666667,18.583333,622984.0,Bangui,Franc,fr,4844927.0,110.3240738888889,36.09544938784725
Chad,12.1,15.033332999999999,1284000.0,N'Djamena,Franc,fr,10543464.0,108.35185166666668,40.4399257038114
Chile,-33.45,-70.666667,756950.0,Santiago,Peso,es,16746491.0,60.740740555555554,13.928253306058863
China,39.9166666666667,116.38333300000001,9596960.0,Beijing,Yuan Renminbi,zh,1330044000.0,164.65740722222222,57.89094135342032
Christmas Island,-10.4166666666667,105.71666699999999,135.0,Flying Fish Cove,Dollar,en,1500.0,158.73148166666667,27.847988647350554
Cocos Islands,-12.166666666666698,96.833333,14.0,West Island,Dollar,ms,628.0,153.7962961111111,26.856534180467094
Colombia,4.6,-74.083333,1138910.0,Bogota,Peso,es,47790000.0,58.84259277777778,36.2254769777087
Comoros,-11.7,43.233333,2170.0,Moroni,Franc,ar,773407.0,124.01851833333335,27.12152088655626
Democratic Republic of the Congo,-4.31666666666667,15.3,2345410.0,Kinshasa,Franc,fr,70916439.0,108.50000000000001,31.266751527212485
Cook Islands,-21.2,-159.76666699999998,240.0,Avarua,Dollar,en,21388.0,11.240740555555565,21.611069362291545
Costa Rica,9.93333333333333,-84.083333,51100.0,San Jose,Colon,es,4516220.0,53.287037222222224,39.21354464010406
Croatia,45.8,16.0,56542.0,Zagreb,Kuna,hr,4284889.0,108.8888888888889,62.355153671889525
Cuba,23.1166666666667,-82.35,110860.0,Havana,Peso,es,11423000.0,54.25000000000001,46.873073063063686
Cyprus,35.1666666666667,33.366667,9250.0,Nicosia,Euro,el,1102677.0,118.53703722222222,54.56075545210859
Denmark,55.6666666666667,12.583333,43094.0,Copenhagen,Krone,da,5484000.0,106.99074055555556,71.05875969234094
Djibouti,11.583333333333302,43.15,23000.0,Djibouti,Franc,fr,740528.0,123.97222222222223,40.14664615545045
Dominica,15.3,-61.4,754.0,Roseau,Dollar,en,72813.0,65.88888888888889,42.27003014369988
Dominican Republic,18.466666666666697,-69.9,48730.0,Santo Domingo,Peso,es,9823821.0,61.166666666666664,44.108809507822514
Ecuador,-0.216666666666667,-78.5,283560.0,Quito,Dollar,es,14790608.0,56.38888888888889,33.54680093989837
Egypt,30.05,31.25,1001450.0,Cairo,Pound,ar,80471869.0,117.36111111111111,51.18421232742912
El Salvador,13.7,-89.2,21040.0,San Salvador,Dollar,es,6052064.0,50.44444444444444,41.351862707773755
Equatorial Guinea,3.75,8.783333,28051.0,Malabo,Franc,es,1014999.0,104.87962944444445,35.75199391509383
Eritrea,15.333333333333302,38.933333000000005,121320.0,Asmara,Nakfa,aa,5792984.0,121.62962944444445,42.28923065269205
